Generation #0
111001010110 - value: 44, fitness: 44, weight: 250
100011110100 - value: 39, fitness: 39, weight: 220
111000101100 - value: 36, fitness: 36, weight: 230
111010000101 - value: 35, fitness: 35, weight: 240
011010100110 - value: 34, fitness: 34, weight: 210
001011000110 - value: 34, fitness: 34, weight: 220
010001110110 - value: 34, fitness: 34, weight: 200
011000110111 - value: 34, fitness: 34, weight: 250
100100011110 - value: 33, fitness: 33, weight: 250
110010010110 - value: 33, fitness: 33, weight: 170
110001001100 - value: 33, fitness: 33, weight: 210
100110100100 - value: 32, fitness: 32, weight: 210
101001000100 - value: 32, fitness: 32, weight: 170
001100010110 - value: 31, fitness: 31, weight: 220
111100100000 - value: 30, fitness: 30, weight: 230
001011010010 - value: 30, fitness: 30, weight: 230
111010010000 - value: 30, fitness: 30, weight: 190
010010011100 - value: 29, fitness: 29, weight: 200
011100110000 - value: 29, fitness: 29, weight: 240
011010000101 - value: 29, fitness: 29, weight: 220
110110010000 - value: 29, fitness: 29, weight: 220
111001000001 - value: 29, fitness: 29, weight: 240
111000110000 - value: 28, fitness: 28, weight: 170
110000101100 - value: 28, fitness: 28, weight: 170
110000100111 - value: 27, fitness: 27, weight: 180
000111010000 - value: 27, fitness: 27, weight: 240
001000011101 - value: 27, fitness: 27, weight: 240
110101000000 - value: 27, fitness: 27, weight: 210
100010010101 - value: 27, fitness: 27, weight: 180
100010100101 - value: 26, fitness: 26, weight: 180
010011100010 - value: 26, fitness: 26, weight: 200
011001001000 - value: 26, fitness: 26, weight: 230
110000111010 - value: 26, fitness: 26, weight: 200
111000010010 - value: 26, fitness: 26, weight: 160
110000001101 - value: 25, fitness: 25, weight: 200
001101000000 - value: 24, fitness: 24, weight: 220
001100000100 - value: 24, fitness: 24, weight: 170
000010101101 - value: 24, fitness: 24, weight: 230
001100000100 - value: 24, fitness: 24, weight: 170
000001100110 - value: 24, fitness: 24, weight: 140
001010101010 - value: 24, fitness: 24, weight: 230
000001001110 - value: 24, fitness: 24, weight: 180
100110100001 - value: 24, fitness: 24, weight: 250
010000010111 - value: 22, fitness: 22, weight: 160
001001100001 - value: 22, fitness: 22, weight: 220
000100111010 - value: 22, fitness: 22, weight: 240
000111000000 - value: 22, fitness: 22, weight: 210
000110000100 - value: 22, fitness: 22, weight: 160
